iter	Passed	Remaining
0	3	3312
1	3	1793
2	3	1291
3	4	1065
4	4	908
5	4	797
6	5	766
7	5	721
8	6	671
9	6	633
10	6	599
11	7	576
12	7	550
13	7	528
14	7	512
15	8	498
16	8	484
17	8	470
18	8	460
19	9	451
20	9	444
21	9	436
22	10	427
23	10	420
24	10	414
25	10	409
26	11	403
27	11	398
28	11	392
29	11	387
30	12	382
31	12	379
32	12	375
33	13	371
34	13	368
35	13	365
36	13	362
37	14	358
38	14	355
39	14	352
40	14	349
41	15	346
42	15	343
43	15	340
44	15	337
45	16	334
46	16	331
47	16	328
48	16	327
49	17	324
50	17	322
51	17	319
52	17	317
53	19	349
54	20	346
55	20	344
56	20	344
57	21	341
58	21	341
59	21	339
60	22	338
61	22	336
62	22	334
63	22	333
64	23	331
65	23	329
66	23	328
67	23	326
68	24	324
69	24	322
70	24	321
71	24	319
72	25	317
73	25	316
74	25	315
75	25	314
76	26	313
77	26	316
78	27	316
79	27	314
80	27	313
81	27	312
82	27	309
83	28	307
84	28	306
85	28	305
86	28	303
87	29	302
88	29	301
89	29	299
90	29	299
91	30	298
92	30	297
93	30	296
94	31	295
95	31	295
96	31	294
97	31	293
98	32	292
99	32	291
100	32	290
101	32	290
102	33	289
103	33	288
104	33	287
105	34	286
106	34	286
107	34	285
108	34	284
109	35	283
110	35	282
111	35	281
112	35	282
113	36	281
114	36	280
115	36	279
116	36	278
117	37	277
118	37	277
119	37	278
120	38	278
121	38	278
122	39	278
123	39	278
124	39	278
125	40	277
126	40	276
127	40	277
128	41	277
129	41	277
130	41	276
131	41	275
132	42	275
133	42	274
134	42	273
135	42	273
136	43	272
137	43	271
138	43	272
139	44	271
140	44	270
141	44	269
142	44	268
143	44	267
144	45	266
145	45	266
146	45	265
147	45	264
148	46	264
149	46	263
150	46	262
151	46	262
152	47	261
153	47	261
154	47	260
155	48	260
156	48	259
157	48	259
158	48	258
159	49	258
160	49	256
161	49	256
162	49	256
163	50	255
164	50	255
165	50	254
166	50	253
167	51	253
168	51	253
169	51	253
170	52	252
171	52	252
172	52	252
173	53	252
174	53	251
175	54	254
176	54	254
177	55	254
178	55	253
179	55	253
